S.No,Headline,Section,Category,Link
271,Sabrina Carpenter and Justin Bieber to headline Coachella 2026,Articles,Entertainment,https://www.bbc.com/news/articles/cr5q8zg0zy9o
272,Shameless star to play King Lear in Manchester theatre return,Articles,Entertainment,https://www.bbc.com/news/articles/cn834l295d9o
273,"Eurovision has never been about politics, says BBC boss Tim Davie",Articles,Entertainment,https://www.bbc.com/news/articles/cp8jd108e3qo
274,Prince Harry says his 'conscience is clear' over Royal revelations,Articles,Entertainment,https://www.bbc.com/news/articles/cg7d27l929mo
275,Lewis Capaldi to headline new Yorkshire festival,Articles,Entertainment,https://www.bbc.com/news/articles/c1edgwl30pdo
276,Strictly star Dani Dyer on why she'd like to pull dad Danny up on the dancefloor,Articles,Entertainment,https://www.bbc.com/news/articles/c33r4j2elldo
277,Watch/Listen,General,Entertainment,N/A
278,How Adolescence pulled off an Emmys sweep,Articles,Entertainment,https://www.bbc.com/news/articles/cd72d98gj58o
279,Cash for speeches and big wins for The Pitt and The Studio - Emmys highlights,Articles,Entertainment,https://www.bbc.com/news/articles/cj9zep0y7reo
280,Da Vinci Code author Dan Brown on why failure is a blessing,Videos,Entertainment,https://www.bbc.com/news/videos/cqlzddl4nk6o
281,Watch: Winning moments from the 77th Emmy Awards,Videos,Entertainment,https://www.bbc.com/news/videos/c1jzxjgx7r9o
282,Moment Owen Cooper becomes youngest ever male Emmy winner,Videos,Entertainment,https://www.bbc.com/news/videos/c2370d58pk5o
283,Features & analysis,General,Entertainment,N/A
284,"The secrets began before I even auditioned, says The Summer I Turned Pretty actress",Articles,Entertainment,https://www.bbc.com/news/articles/cewnkld78qqo
285,"I spent £1,000 to go to a hen party. You feel like you have to",Articles,Entertainment,https://www.bbc.com/news/articles/c930pyzygqxo
286,Coldplay get giddy as they smash Wembley Stadium record,Articles,Entertainment,https://www.bbc.com/news/articles/c306m86y824o
287,Ed Sheeran's Play: Can the pop star reclaim his crown?,Articles,Entertainment,https://www.bbc.com/news/articles/cp3v12e7j9do
288,Spinal Tap: The world's loudest band return with a little help from their famous friends,Articles,Entertainment,https://www.bbc.com/news/articles/cy5039lqzgvo
289,Latest updates,General,Entertainment,N/A
290,Acting legend Robert Redford dies aged 89,Articles,Entertainment,https://www.bbc.com/news/articles/c1dqe9ey0kgo
291,Japanese girl group release AI-assisted single after fan vote,Articles,Entertainment,https://www.bbc.com/news/articles/c1kwvlyrjyxo
292,Robert Redford: An enthralling star with an aura that lit up Hollywood,Articles,Entertainment,https://www.bbc.com/news/articles/ckke5522r23o
293,Margot Robbie discovers Kylie is a big fan,Videos,Entertainment,https://www.bbc.com/news/videos/cx2pr3j50epo
294,The Lost Bus is an 'enthralling' wildfire drama,Article,Entertainment,https://www.bbc.com/culture/article/20250915-the-lost-bus-review
295,'I didn't know I was auditioning for The Summer I Turned Pretty',Videos,Entertainment,https://www.bbc.com/news/videos/clyxveg89y3o
296,Mark Ronson on being a night person - and Lady Gaga trashing his car,Articles,Entertainment,https://www.bbc.com/news/articles/c8xrge1prpyo
297,Shameless star to play King Lear in Manchester theatre return,Articles,Entertainment,https://www.bbc.com/news/articles/cn834l295d9o
298,Lily James has learned a lot about dating apps,Videos,Entertainment,https://www.bbc.com/news/videos/c5y8k7031v0o
299,Environment,General,Science,N/A
300,From our Science Editor Rebecca Morelle,General,Science,N/A
301,BBC InDepth,General,Science,N/A
302,Inside Science,General,Science,N/A
303,Latest Updates,General,Science,N/A
304,"22:38 BST 16 September'Forgotten' royal castle uncovered on Scottish isle,published at22:38 BST 16 September'Forgotten' royal castle uncovered on Scottish isle",Articles,Science,https://www.bbc.com/news/articles/cz693e0zdqeo
305,"18:36 BST 16 SeptemberChinese-linked mining firms sued over 'ecological catastrophe' in Zambia,published at18:36 BST 16 SeptemberChinese-linked mining firms sued over 'ecological catastrophe' in Zambia",Articles,Science,https://www.bbc.com/news/articles/cy7p51l60rro
306,"16:55 BST 16 SeptemberOne thing that's on my mind... Video, 00:00:33,published at16:55 BST 16 SeptemberOne thing that's on my mind...",Videos,Science,https://www.bbc.com/news/videos/ced52e7ewvdo
307,"16:32 BST 16 SeptemberEnvironmental charity announces closure,published at16:32 BST 16 SeptemberEnvironmental charity announces closure",Articles,Science,https://www.bbc.com/news/articles/cm2d3j41redo
308,"16:07 BST 16 SeptemberCouncil spends Â£13m sending rubbish for recycling outside city,published at16:07 BST 16 SeptemberCouncil spends Â£13m sending rubbish for recycling outside city",Articles,Science,https://www.bbc.com/news/articles/c708nvvjjw0o
309,"15:49 BST 16 SeptemberVolunteers upcycling donated clothes for charity shop,published at15:49 BST 16 SeptemberVolunteers upcycling donated clothes for charity shop",Articles,Science,https://www.bbc.com/news/articles/cqlz2493ee0o
310,"13:23 BST 16 SeptemberRecycling centre traffic congestion to be tackled,published at13:23 BST 16 SeptemberRecycling centre traffic congestion to be tackled",Articles,Science,https://www.bbc.com/news/articles/cx25xg0wvgxo
311,"12:43 BST 16 SeptemberNo sign of missing pony foals in eagle nests after 'snatching' claim,published at12:43 BST 16 SeptemberNo sign of missing pony foals in eagle nests after 'snatching' claim",Articles,Science,https://www.bbc.com/news/articles/cgmzj4w3dg7o
312,"12:43 BST 16 September'It's just chaos!' Brothers spend summer caring for baby red squirrel,published at12:43 BST 16 September'It's just chaos!' Brothers spend summer caring for baby red squirrel",Articles,Science,https://www.bbc.com/news/articles/cly7n96w6wro
313,"11:57 BST 16 SeptemberDelhi's toxic air is turning iconic Red Fort black - study,published at11:57 BST 16 SeptemberDelhi's toxic air is turning iconic Red Fort black - study",Articles,Science,https://www.bbc.com/news/articles/cx27j53m7r2o
314,"11:24 BST 16 SeptemberTropical 'hair curler slug' found in UK waters,published at11:24 BST 16 SeptemberTropical 'hair curler slug' found in UK waters",Articles,Science,https://www.bbc.com/news/articles/c203qzlv3edo
315,"11:22 BST 16 SeptemberHomes damaged, cars swept away as rains flood India's Uttarakhand. Video, 00:01:01,published at11:22 BST 16 SeptemberHomes damaged, cars swept away as rains flood India's Uttarakhand",Videos,Science,https://www.bbc.com/news/videos/c8641vd73jxo
316,"06:38 BST 16 SeptemberPublic encouraged to reuse or recycle clothes,published at06:38 BST 16 SeptemberPublic encouraged to reuse or recycle clothes",Articles,Science,https://www.bbc.com/news/articles/cd9yqwq01gxo
317,"06:23 BST 16 SeptemberAll of estuary's newborn seal pups found dead,published at06:23 BST 16 SeptemberAll of estuary's newborn seal pups found dead",Articles,Science,https://www.bbc.com/news/articles/cpw17r15gpro
318,"06:19 BST 16 SeptemberPort's 'green' terminal aims to create 12,000 jobs,published at06:19 BST 16 SeptemberPort's 'green' terminal aims to create 12,000 jobs",Articles,Science,https://www.bbc.com/news/articles/c8ex6kgj340o
319,"06:18 BST 16 SeptemberHow wildlife is returning to heathland,published at06:18 BST 16 SeptemberHow wildlife is returning to heathland",Articles,Science,https://www.bbc.com/news/articles/cy8rn9zrg8ko
320,"06:12 BST 16 SeptemberTown considers robot delivery scheme after trials,published at06:12 BST 16 SeptemberTown considers robot delivery scheme after trials",Articles,Science,https://www.bbc.com/news/articles/c749qlk8k7jo
321,"06:08 BST 16 SeptemberLife stories of killer doctor's victims revealed,published at06:08 BST 16 SeptemberLife stories of killer doctor's victims revealed",Articles,Science,https://www.bbc.com/news/articles/cp8jy1zd80eo
322,"06:06 BST 16 SeptemberTenbury 'at risk' over floods insurance snub,published at06:06 BST 16 SeptemberTenbury 'at risk' over floods insurance snub",Articles,Science,https://www.bbc.com/news/articles/c75q3nrppvno
323,"06:06 BST 16 SeptemberEngineers develop 'life-saving' weather sensor,published at06:06 BST 16 SeptemberEngineers develop 'life-saving' weather sensor",Articles,Science,https://www.bbc.com/news/articles/c203q6ndgx9o
324,"05:22 BST 16 SeptemberCost of vet bills causing pet owner sleepless nights,published at05:22 BST 16 SeptemberCost of vet bills causing pet owner sleepless nights",Articles,Science,https://www.bbc.com/news/articles/cr70ng2k9lvo
325,"18:40 BST 15 SeptemberPrivate zoo run by billionaire Ambani family cleared of 'foul play',published at18:40 BST 15 SeptemberPrivate zoo run by billionaire Ambani family cleared of 'foul play'",Articles,Science,https://www.bbc.com/news/articles/c147kzpy113o
326,"16:04 BST 15 SeptemberFallen trees disrupt travel amid weather warning. Video, 00:00:25,published at16:04 BST 15 SeptemberFallen trees disrupt travel amid weather warning",Videos,Science,https://www.bbc.com/news/videos/cgmzj9w4jvzo
327,"15:20 BST 15 SeptemberWoman's face reconstructed from 900-year-old skull,published at15:20 BST 15 SeptemberWoman's face reconstructed from 900-year-old skull",Articles,Science,https://www.bbc.com/news/articles/cm2867n0q1lo
